Id, name, nation, day of birth, points, category, weight, gender
2963, REMEZ Itay, Israel, 11-11-1111, 0.75, cadetes, -53, male
2964, BARKOUSKI Viktar, Belarus, 11-11-1111, 0.75, cadetes, -53, male
2965, BRAUN Laurenz, Germany, 11-11-1111, 0.75, cadetes, -53, male
2966, BUGDAEV Shakhban, Russian Federation, 11-11-1111, 0.75, cadetes, -53, male
2967, WENG Tae-Kuang, Taiwan, 11-11-1111, 0.75, cadetes, -53, male
2968, MANG Joseph, United States of America, 11-11-1111, 0.75, cadetes, -53, male
2969, DIASNES Justine James, Philippines, 11-11-1111, 0.75, cadetes, -53, male
2970, BANULS SANTIAGO David, Spain, 11-11-1111, 0.75, cadetes, -53, male
2971, ALI Ali, United Arab Emirates, 11-11-1111, 0.75, cadetes, -53, male
2972, VANICEK Vojtech, Czech Republic, 11-11-1111, 0.75, cadetes, -53, male
2973, JURKIC Miro, Hrvatska, 11-11-1111, 0.75, cadetes, -53, male
2974, BIBERLE Ayman, Germany, 11-11-1111, 0.75, cadetes, -53, male
2975, TABANGO CHANCOSI Mike Jordano, Ecuador, 11-11-1111, 0.75, cadetes, -53, male
2976, NGUYEN Trong Bao Lam, Viet Nam, 11-11-1111, 0.75, cadetes, -53, male
2977, SHARMA Prince, India, 11-11-1111, 0.75, cadetes, -53, male
2978, JALAL ABDULRIDHA Hussein, Iraq, 11-11-1111, 0.75, cadetes, -53, male
2979, CHOURIDIS Ilias, Greece, 11-11-1111, 0.74, cadetes, -53, male
2980, STURZ VUJADINOVIC Petar, Hrvatska, 11-11-1111, 0.72, cadetes, -53, male
2981, YEVDOKYMEN Bogdan, Ukraine, 11-11-1111, 0.72, cadetes, -53, male
2982, STYLIANIDIS Aris, Cyprus, 11-11-1111, 0.7, cadetes, -53, male
2983, RAMAZANOV Khanmagomed, Russian Federation, 11-11-1111, 0.7, cadetes, -53, male
2984, BYSTROV Volodymyr, Ukraine, 25-04-2004, 0.69, cadetes, -53, male
2985, GENOCKEY Rocco, Ireland, 11-11-1111, 0.69, cadetes, -53, male
2986, LAUCEVICIUS Tadas, Lituania, 11-11-1111, 0.69, cadetes, -53, male
2987, MARKOVIC Milos, Serbia, 11-11-1111, 0.69, cadetes, -53, male
2988, BAKATSIS Apostolos, Greece, 11-11-1111, 0.68, cadetes, -53, male
2989, AL-QRAAN Faris, Jordan, 11-11-1111, 0.66, cadetes, -53, male
2990, VITOUX Yohan, France, 11-11-1111, 0.66, cadetes, -53, male
2991, ALKHAWAHR Mustafa, Saudi Arabia, 11-11-1111, 0.66, cadetes, -53, male
2992, MALEKI Amirhosein, Iran, 11-11-1111, 0.66, cadetes, -53, male
2993, PEREIRA de JESUS Luiz Guilherme, Brazil, 11-11-1111, 0.66, cadetes, -53, male
2994, GHADIRI Komeil, Iran, 11-11-1111, 0.66, cadetes, -53, male
2995, TAM Chun Hei, Hong Kong, 11-11-1111, 0.66, cadetes, -53, male
2996, TSIKOV Borislav, Bulgaria, 11-11-1111, 0.63, cadetes, -53, male
2997, SOPHOCLEOUS Antonis, Cyprus, 11-11-1111, 0.63, cadetes, -53, male
2998, ASIRI Aseel Yahya, Saudi Arabia, 11-11-1111, 0.63, cadetes, -53, male
2999, GUNES Ahmet Yetis, Turkey, 11-11-1111, 0.63, cadetes, -53, male
3000, MAGOMEDRASULOV Akhmed, Russian Federation, 11-11-1111, 0.63, cadetes, -53, male
3001, FLOURIS Iosif, Cyprus, 11-11-1111, 0.63, cadetes, -53, male
3002, MRAD Charbel, Lebanon, 11-11-1111, 0.63, cadetes, -53, male
3003, GEORGOULAS Alexandros, Greece, 11-11-1111, 0.63, cadetes, -53, male
3004, RODRIGUEZ HIDALGO Carlos, Spain, 11-11-1111, 0.63, cadetes, -53, male
3005, TSARANOV Nikita, Russian Federation, 11-11-1111, 0.63, cadetes, -53, male
3006, MAKENJUOLA Tomi, United Kingdom of Great Britai, 11-11-1111, 0.63, cadetes, -53, male
3007, KILIC Yusuf, Turkey, 11-11-1111, 0.63, cadetes, -53, male
3008, DANJOLLI Uvejs, Kosovo, 11-11-1111, 0.63, cadetes, -53, male
3009, GURER Mehmet, Turkey, 11-11-1111, 0.63, cadetes, -53, male
3010, NABABTEH Rasheed Muneer, Jordan, 11-11-1111, 0.63, cadetes, -53, male
3011, MOLINA MONTROIG Max, Spain, 11-11-1111, 0.63, cadetes, -53, male
3012, FINDZIUKEVICH Ivan, Belarus, 11-11-1111, 0.63, cadetes, -53, male
3013, NICOLAIDES Loucas, Cyprus, 11-11-1111, 0.63, cadetes, -53, male
3014, CHABAYA MATEO Daniel, Peru, 11-11-1111, 0.63, cadetes, -53, male
3015, TVEITEVAG Frederik, Norway, 11-11-1111, 0.63, cadetes, -53, male
3016, MATTEI Mateo Nicolas, Argentina, 11-11-1111, 0.63, cadetes, -53, male
3017, CAVALIC Eman, Bosnia and Herzegovina, 11-11-1111, 0.63, cadetes, -53, male
3018, ELSAYED MOHAMED Elsayed Ahmed, United Arab Emirates, 11-11-1111, 0.63, cadetes, -53, male
3019, CICCIA Salvatore, Italy, 11-11-1111, 0.63, cadetes, -53, male
3020, DERELI Batuhan Efe, Turkey, 11-11-1111, 0.63, cadetes, -53, male
3021, NICHITICI Vlad, Moldova, 11-11-1111, 0.63, cadetes, -53, male
3022, SARQUIS MARIN Sarek, Colombia, 11-11-1111, 0.63, cadetes, -53, male
3023, HERNANDEZ BAZAN Angel Axel, Mexico, 11-11-1111, 0.63, cadetes, -53, male
3024, HERRADOR IMEDIO Alejandro, Spain, 11-11-1111, 0.63, cadetes, -53, male
3025, HERRERA DIAZ Roy Charles, Cuba, 11-11-1111, 0.63, cadetes, -53, male
3026, CRAWFORD Aidan, United States of America, 11-11-1111, 0.63, cadetes, -53, male
3027, MAOR Maayan, Israel, 11-11-1111, 0.63, cadetes, -53, male
3028, CHING BOXX Neithan Mathiw, Costa Rica, 11-11-1111, 0.63, cadetes, -53, male
3029, PERKEL Maayan, Israel, 11-11-1111, 0.63, cadetes, -53, male
3030, TURAVINAU Raman, Belarus, 11-11-1111, 0.62, cadetes, -53, male
3031, SAAL Rynald, France, 25-06-2005, 0.61, cadetes, -53, male
3032, MILETIC Mateja, Serbia, 10-08-2005, 0.61, cadetes, -53, male
3033, KAYA Hakan, Turkey, 11-11-1111, 0.59, cadetes, -53, male
3034, HUREMOVIC Sejdo, Bosnia and Herzegovina, 11-11-1111, 0.56, cadetes, -53, male
3035, JABLONSKI Zbigniew, Poland, 11-11-1111, 0.56, cadetes, -53, male
3036, MESHCHERIAKOV Vladimir, Russian Federation, 11-11-1111, 0.56, cadetes, -53, male
3037, TIEFA Krystof, Czech Republic, 11-11-1111, 0.56, cadetes, -53, male
3038, IOANNOU Filippos, Cyprus, 11-11-1111, 0.56, cadetes, -53, male
3039, HILAL Ali, Canada, 11-11-1111, 0.56, cadetes, -53, male
3040, MHADHBI Youssef, Tunisia, 11-11-1111, 0.56, cadetes, -53, male
3041, PERAJICA Kristijan, Hrvatska, 11-11-1111, 0.55, cadetes, -53, male
3042, ELSERSY Omar, Egypt, 09-03-2006, 0.55, cadetes, -53, male
3043, FRAILE RODRIGUEZ Jesus, Spain, 11-11-1111, 0.54, cadetes, -53, male
3044, KUSKU Mahmut, Turkey, 11-11-1111, 0.54, cadetes, -53, male
3045, KACZMAREK Adrian, Poland, 11-11-1111, 0.53, cadetes, -53, male
3046, AGUSHI Elion, Kosovo, 11-11-1111, 0.53, cadetes, -53, male
3047, TURNER Rhys, United Kingdom of Great Britai, 11-11-1111, 0.53, cadetes, -53, male
3048, MUSKEVITS Aleksandr, Estonia, 11-11-1111, 0.53, cadetes, -53, male
3049, SALAMOV Tundzhai, Russian Federation, 11-11-1111, 0.53, cadetes, -53, male
3050, NIKOLAOU Theofanis, Greece, 11-11-1111, 0.53, cadetes, -53, male
3051, TORRES Emiliano, Mexico, 11-11-1111, 0.52, cadetes, -53, male
3052, ALMADAWI Mohammed Ali, Saudi Arabia, 11-11-1111, 0.52, cadetes, -53, male
3053, GUMUS Feyyaz, Germany, 11-11-1111, 0.5, cadetes, -53, male
3054, SANCHEZ STEINMETZ Diego Miguel, Spain, 11-11-1111, 0.5, cadetes, -53, male
3055, EL HADDAOUI Yassine, Belgium, 11-11-1111, 27.75, cadetes, -57, male
3056, KIM Keonwoo, Korea, 11-11-1111, 22.5, cadetes, -57, male
3057, SA ARAUJO de Nicolas, Brazil, 11-11-1111, 19, cadetes, -57, male
3058, COSKUNGONUL Bugra, Turkey, 11-11-1111, 16.63, cadetes, -57, male
3059, ZEINALI Radin, Iran, 11-11-1111, 16.5, cadetes, -57, male
3060, KLJAJIC Nikola, Serbia, 11-11-1111, 15.25, cadetes, -57, male
3061, CAKIR Nusret Efe, Turkey, 11-11-1111, 14.69, cadetes, -57, male
3062, SERBAN Luca Fabian, Italy, 11-11-1111, 13.25, cadetes, -57, male
3063, ROSATO Gabriele, Italy, 11-11-1111, 13.19, cadetes, -57, male
3064, GOGOBERIDZE Nika, Georgia, 11-11-1111, 13.13, cadetes, -57, male
3065, TAGHIPOUR Mohammad Hossein, Iran, 11-11-1111, 13, cadetes, -57, male
3066, ALADE Joshua, United States of America, 11-11-1111, 12.88, cadetes, -57, male
3067, PETERS Benjamin, United States of America, 11-11-1111, 12.25, cadetes, -57, male
3068, FERNANDEZ Thiago Joaquin, Argentina, 11-11-1111, 12, cadetes, -57, male
3069, ROSEMOND Nolhan, France, 11-11-1111, 11.56, cadetes, -57, male
3070, VALDES VAZQUEZ David, Mexico, 11-11-1111, 11.5, cadetes, -57, male
3071, MITSOS Dimitrios, Greece, 11-11-1111, 11.25, cadetes, -57, male
3072, CHEBLI Zineddine, Canada, 11-11-1111, 10.75, cadetes, -57, male
3073, AMATMONTREE Nitipat, Thailand, 11-11-1111, 10.5, cadetes, -57, male
3074, ZAINESH Daryn, Kazakhstan, 11-11-1111, 10.13, cadetes, -57, male
3075, CONOS Mihail, Moldova, 11-11-1111, 10.13, cadetes, -57, male
3076, FIJALKOWSKI Marcel, Poland, 11-11-1111, 9.94, cadetes, -57, male
3077, MOHAMED ROSHDY Moaz, Egypt, 03-12-2008, 9.75, cadetes, -57, male
3078, SURVILA Aironas, Lithuania, 11-11-1111, 8.63, cadetes, -57, male
3079, LEE Jun, New Zealand, 11-11-1111, 8.63, cadetes, -57, male
3080, SIEVERT Dennis, Germany, 11-11-1111, 8.5, cadetes, -57, male
3081, KISKYRAS Foivos, Greece, 11-11-1111, 8.5, cadetes, -57, male
3082, SALIMOV Vasif, Azerbaijan, 11-11-1111, 8.38, cadetes, -57, male
3083, PAK Artur, Kazakhstan, 11-11-1111, 8, cadetes, -57, male
3084, TUNCAY Alper, Turkey, 11-11-1111, 8, cadetes, -57, male
3085, ERGUN Eser, Germany, 11-11-1111, 8, cadetes, -57, male
3086, MONDACA-WANG Ian, United States of America, 11-11-1111, 7.88, cadetes, -57, male
3087, KHABAROV Danila, Spain, 11-11-1111, 7.75, cadetes, -57, male
3088, LEWANDOWSKI Dominik, Poland, 11-11-1111, 7.38, cadetes, -57, male
3089, TUMNIIMAGNAI Temuulen, Mongolia, 11-11-1111, 7, cadetes, -57, male
3090, GARCIA DAVILA Gustavo Andres, Puerto Rico, 11-11-1111, 7, cadetes, -57, male
3091, NUNES dos SANTOS Guilherme, Brazil, 11-11-1111, 7, cadetes, -57, male
3092, ALSHOWAIBI Abdulmohsen Rashed, Saudi Arabia, 11-11-1111, 7, cadetes, -57, male
3093, SOPHOCLEOUS Antonis, Cyprus, 11-11-1111, 6.88, cadetes, -57, male
3094, HUSEYNOV Yunis, Azerbaijan, 11-11-1111, 6.88, cadetes, -57, male
3095, PAVLIUKOV Denys, Ukraine, 11-11-1111, 6.63, cadetes, -57, male
3096, MORA Luis, Chile, 11-11-1111, 6.63, cadetes, -57, male
3097, MIGUEL Nassim, France, 11-11-1111, 6.5, cadetes, -57, male
3098, ADILOVIC Fahrudin, Bosnia and Herzegovina, 11-11-1111, 6.49, cadetes, -57, male
3099, YELEMESSOV Medet, Kazakhstan, 11-11-1111, 6.38, cadetes, -57, male
3100, LEE Junhyuk, Korea, 11-11-1111, 6.25, cadetes, -57, male
3101, HADJIIVANOV Pavel, Bulgaria, 11-11-1111, 6.06, cadetes, -57, male
3102, RIBBESTAD Markus, Sweden, 11-11-1111, 6, cadetes, -57, male
3103, GAVINO Chase, United States of America, 11-11-1111, 6, cadetes, -57, male
3104, JAWHAR Mir, Sweden, 11-11-1111, 5.88, cadetes, -57, male
3105, ATIADEVEY Kody, Denmark, 11-11-1111, 5.69, cadetes, -57, male
3106, MAHNU Adam, Denmark, 11-11-1111, 5.63, cadetes, -57, male
3107, CUVARA Aaron, Slovakia, 11-11-1111, 5.63, cadetes, -57, male
3108, TADIC Mihailo, Serbia, 11-11-1111, 5.38, cadetes, -57, male
3109, FUANGNOI Thanapoom, Thailand, 11-11-1111, 5.25, cadetes, -57, male
3110, KYRIAKOU Theodoros, Cyprus, 11-11-1111, 5.25, cadetes, -57, male
3111, DADASHLI Abdulshubhan, Azerbaijan, 11-11-1111, 5.25, cadetes, -57, male
3112, ABDULLAH ABAS Haroon, Iraq, 11-11-1111, 5.25, cadetes, -57, male
3113, JUMANAN Marc-Daniel, United States of America, 11-11-1111, 5, cadetes, -57, male
3114, MAZZONE Leo, Canada, 11-11-1111, 5, cadetes, -57, male
3115, FERREIRA MASSA Vitor, Brazil, 11-11-1111, 5, cadetes, -57, male
3116, MATIC Nikola, Hrvatska, 11-11-1111, 5, cadetes, -57, male
3117, DUSHKU Enes, Poland, 11-11-1111, 4.88, cadetes, -57, male
3118, PAPAIOANNOU Marios Leonidas, Greece, 11-11-1111, 4.88, cadetes, -57, male
3119, AKBARI Milad, Germany, 11-11-1111, 4.88, cadetes, -57, male
3120, MUSTAPIN Amirkhan, Kazakhstan, 11-11-1111, 4.75, cadetes, -57, male
3121, MOLLER Magnus Robdrup, Denmark, 11-11-1111, 4.75, cadetes, -57, male
3122, KONSTANTAS Theodoros, Greece, 11-11-1111, 4.63, cadetes, -57, male
3123, CAVUSMAN Aslan Eymen, Germany, 11-11-1111, 4.63, cadetes, -57, male
3124, WANG Liu-Je, Taiwan, 11-11-1111, 4.5, cadetes, -57, male
3125, MILICEVIC David, Bosnia and Herzegovina, 11-11-1111, 4.5, cadetes, -57, male
3126, JURESIC Tin, Bosnia and Herzegovina, 11-11-1111, 4.38, cadetes, -57, male
3127, VALENTIN CHAPARRO Sebastian, Puerto Rico, 11-11-1111, 4.38, cadetes, -57, male
3128, LENCO Ilya, Canada, 11-11-1111, 4.25, cadetes, -57, male
3129, STAUD Gustavo Henrique, Brazil, 11-11-1111, 4.25, cadetes, -57, male
3130, FELDMAN Yochai, Israel, 11-11-1111, 4.25, cadetes, -57, male
3131, PAVLIN Deyan, Bulgaria, 11-11-1111, 4.13, cadetes, -57, male
3132, KECHICHE Mohamed-Amine, France, 11-11-1111, 4.13, cadetes, -57, male
3133, BEGIASHVILI Saba, Georgia, 11-11-1111, 4.13, cadetes, -57, male
3134, TOROHIA Gabriel, French Polynesia, 11-11-1111, 4.13, cadetes, -57, male
3135, HORVAT Sven, Hrvatska, 11-11-1111, 4.13, cadetes, -57, male
3136, SHIN Heecheol, Korea, 11-11-1111, 4, cadetes, -57, male
3137, BEREIHI Amir Mohammad, Oman, 11-11-1111, 4, cadetes, -57, male
3138, DEMIC Emin, Bosnia and Herzegovina, 11-11-1111, 4, cadetes, -57, male
3139, KILIC Doruk, Turkey, 11-11-1111, 4, cadetes, -57, male
3140, HOLUB Tymur, Ukraine, 11-11-1111, 3.88, cadetes, -57, male
3141, SANZ RUIZ Alejandro, Spain, 11-11-1111, 3.75, cadetes, -57, male
3142, BOVSUNOVSKYI Emil, Ukraine, 11-12-2009, 3.75, cadetes, -57, male
3143, CHIMCAK Artur, Slovakia, 11-11-1111, 3.75, cadetes, -57, male
3144, GOTTSCHALK Christopher, Germany, 11-11-1111, 3.75, cadetes, -57, male
3145, MIRZOIEV Simur, Ukraine, 12-03-2005, 3.69, cadetes, -57, male
3146, SAFONOV Kiril, Lithuania, 11-11-1111, 3.5, cadetes, -57, male
3147, BEHZAD RESHTEH ROODI Armin, United Arab Emirates, 11-11-1111, 3.5, cadetes, -57, male
3148, SOLORIO Dylan, United States of America, 11-11-1111, 3.5, cadetes, -57, male
3149, KHALED TAHER ABDUL AZIZ AL SAYED Adham, Egypt, 11-11-1111, 3.5, cadetes, -57, male
3150, VALENZUELA Cristobal, Chile, 11-11-1111, 3.5, cadetes, -57, male
3151, GUZEL Ibrahim Efe, Turkey, 11-11-1111, 3.5, cadetes, -57, male
3152, HAKEEM YUSR Zaid, Saudi Arabia, 11-11-1111, 3.5, cadetes, -57, male
3153, DIAS BARROS Matheus Fellipe, Brazil, 11-11-1111, 3.5, cadetes, -57, male
3154, MATURO Emanuele Vittorio, Italy, 11-11-1111, 3.5, cadetes, -57, male
3155, LEE Hansol, Korea, 11-11-1111, 3.5, cadetes, -57, male
3156, CHOI Siwon, Korea, 11-11-1111, 3.5, cadetes, -57, male
3157, HERNANDEZ ESPINAL Dannan Humberto, Mexico, 11-11-1111, 3.5, cadetes, -57, male
3158, FRAGA GARCIA-CORONA Roi, Spain, 11-11-1111, 3.5, cadetes, -57, male
3159, LAZENBY-WOOD Reuben, United Kingdom of Great Britai, 11-11-1111, 3.5, cadetes, -57, male
3160, LANDA Karan, United Kingdom of Great Britai, 11-11-1111, 3.5, cadetes, -57, male
3161, MENIKOU Theodosis, Cyprus, 11-11-1111, 3.5, cadetes, -57, male
3162, LUKASHUK Matvii, Ukraine, 11-11-1111, 3.38, cadetes, -57, male
3163, MITKOV Stanislav, Bulgaria, 11-11-1111, 3.38, cadetes, -57, male
3164, WOLF Marius-Henri, Germany, 11-11-1111, 3.38, cadetes, -57, male
3165, TUMBIOLO Christian, Italy, 11-11-1111, 3.25, cadetes, -57, male
3166, VARENICA Gabrijel, Hrvatska, 11-11-1111, 3.25, cadetes, -57, male
3167, CRUZ SANCHO Jeremy Emanuel, Costa Rica, 11-11-1111, 3.25, cadetes, -57, male
3168, PINEIRO POMBO Daniel, Spain, 11-11-1111, 3.25, cadetes, -57, male
3169, ALHAMBOOZ Yaser, Jordan, 11-11-1111, 3.13, cadetes, -57, male
3170, MAIDANIUK Daniil, Ukraine, 19-06-2007, 3.13, cadetes, -57, male
3171, AHMED Omar Mohamed Medhat, Egypt, 11-11-1111, 3, cadetes, -57, male
3172, THOMPSON Lirion, Germany, 11-11-1111, 3, cadetes, -57, male
3173, YOUSSEF Joey, Lebanon, 11-11-1111, 3, cadetes, -57, male
3174, CHECA ARAQUE Mario, Spain, 11-11-1111, 2.94, cadetes, -57, male
3175, CHANG Feng-Yin, Taiwan, 11-11-1111, 2.94, cadetes, -57, male
3176, WONG FOEN Tetia, French Polynesia, 11-11-1111, 2.88, cadetes, -57, male
3177, ALBAALI Mohammad, Syrian, 11-11-1111, 2.88, cadetes, -57, male
3178, VURAIC JOVETIC Borna, Hrvatska, 11-11-1111, 2.88, cadetes, -57, male
3179, LAMONOV Roman, Russian Federation, 11-11-1111, 2.88, cadetes, -57, male
3180, ALSHAMMARI Yousef, Kuwait, 11-11-1111, 2.88, cadetes, -57, male
3181, HUSIC Benjamin, Bosnia and Herzegovina, 11-11-1111, 2.75, cadetes, -57, male
3182, WEI Hong-You, Taiwan, 11-11-1111, 2.75, cadetes, -57, male
3183, AZEMI Adem, Kosovo, 11-11-1111, 2.75, cadetes, -57, male
3184, JAKELAITIS Nojus, Lithuania, 11-11-1111, 2.75, cadetes, -57, male
3185, VINCIGUERRA Marcello, Germany, 11-11-1111, 2.75, cadetes, -57, male
3186, KBIDA Sofyan, France, 11-11-1111, 2.69, cadetes, -57, male
3187, TURKULJ Uros, Serbia, 11-11-1111, 2.63, cadetes, -57, male
3188, DEMIROVIC Afan, Bosnia and Herzegovina, 11-11-1111, 2.63, cadetes, -57, male
3189, SZEJA Filip, Germany, 11-11-1111, 2.63, cadetes, -57, male
3190, MAGGIOLO Stefano, Italy, 11-11-1111, 2.63, cadetes, -57, male
3191, PANAGOPOULOS Apostolos, Greece, 11-11-1111, 2.63, cadetes, -57, male
3192, RICAUT DOMINGUEZ Jose Maria, Mexico, 11-11-1111, 2.63, cadetes, -57, male
3193, CEYLAN Ahmet Bogachan, Turkey, 11-11-1111, 2.5, cadetes, -57, male
3194, ZUCCO Gabriele, Italy, 11-11-1111, 2.5, cadetes, -57, male
3195, PAUL Max, Germany, 11-11-1111, 2.5, cadetes, -57, male
3196, PEREIRA SANTANA TELES Gustavo, Brazil, 11-11-1111, 2.5, cadetes, -57, male
3197, EL AZHAR Mehdi, France, 11-11-1111, 2.5, cadetes, -57, male
3198, AL KHATIB Abdallah, Jordan, 11-11-1111, 2.5, cadetes, -57, male
3199, GOKCE Ali Boran, Turkey, 11-11-1111, 2.5, cadetes, -57, male
3200, MACHADO LEITE Allan Henrique, Brazil, 11-11-1111, 2.5, cadetes, -57, male
3201, PIHLAJA Vaino, Finland, 11-11-1111, 2.5, cadetes, -57, male
3202, HILAL Yassine, Canada, 11-11-1111, 2.5, cadetes, -57, male
3203, ELAZAB KHALED ABDELHALIM Hamza, Egypt, 11-11-1111, 2.5, cadetes, -57, male
3204, BARATOV Feruz, Uzbekistan, 11-11-1111, 2.5, cadetes, -57, male
3205, YEREMYAN Styopa, United States of America, 11-11-1111, 2.5, cadetes, -57, male
3206, ECHEVARRIA Alejandro, United States of America, 11-11-1111, 2.5, cadetes, -57, male
3207, ANGELL Leonardo, Australia, 11-11-1111, 2.5, cadetes, -57, male
3208, ALFARAIDY Abdulaziz, Saudi Arabia, 11-11-1111, 2.5, cadetes, -57, male
3209, CHAUDHARY Mayank, India, 11-11-1111, 2.5, cadetes, -57, male
3210, GITISH, India, 11-11-1111, 2.5, cadetes, -57, male
3211, RUSU Ianis, Moldova, 11-11-1111, 2.5, cadetes, -57, male
3212, PAPPA Rafael, Greece, 11-11-1111, 2.38, cadetes, -57, male
3213, IVANOVIC Andrej, Serbia, 11-11-1111, 2.38, cadetes, -57, male
3214, VUKOTIC Danilo, Bosnia and Herzegovina, 11-11-1111, 2.38, cadetes, -57, male
3215, CARTWRIGHT Max, United Kingdom of Great Britai, 11-11-1111, 2.38, cadetes, -57, male
3216, GKOLEMIS Ioannis Christos, Greece, 11-11-1111, 2.31, cadetes, -57, male
3217, CHE Denis, Russian Federation, 11-11-1111, 2.25, cadetes, -57, male
3218, NGUYEN Duc Uy, Viet Nam, 11-11-1111, 2.25, cadetes, -57, male
3219, AYMAN Mohammed, Jordan, 11-11-1111, 2.25, cadetes, -57, male
3220, PANSARE Atharva, Australia, 11-11-1111, 2.25, cadetes, -57, male
3221, OROZCO GIL Sergio, Spain, 11-11-1111, 2.25, cadetes, -57, male
3222, MIHAJLOVIC Vuk, Serbia, 11-11-1111, 2.16, cadetes, -57, male
3223, RAMAZANOV Ramazan, Russian Federation, 11-11-1111, 2.14, cadetes, -57, male
3224, PERRI Alessandro, Italy, 11-11-1111, 2.13, cadetes, -57, male
3225, DIMITROV Denis, Bulgaria, 11-11-1111, 2.11, cadetes, -57, male
3226, ZAMENI Arash, Iran, 11-11-1111, 2, cadetes, -57, male
3227, PAK Alisher, Uzbekistan, 11-11-1111, 2, cadetes, -57, male
3228, PETSAS Dimitrios, Greece, 11-11-1111, 2, cadetes, -57, male
3229, ERAM Omid, Canada, 11-11-1111, 2, cadetes, -57, male
3230, ROSENBERG Philip, Sweden, 11-11-1111, 2, cadetes, -57, male
3231, ERDENESAIKHAN Azjargal, Mongolia, 11-11-1111, 2, cadetes, -57, male
3232, ARAFAT Belal, Qatar, 11-11-1111, 2, cadetes, -57, male
3233, SKIKER Ayoub, Belgium, 11-11-1111, 2, cadetes, -57, male
3234, SAWAN Kevin, Lebanon, 11-11-1111, 2, cadetes, -57, male
3235, FALVO Lorenzo, Italy, 11-11-1111, 2, cadetes, -57, male
3236, CALIT Firat Baris, Turkey, 11-11-1111, 2, cadetes, -57, male
3237, AHMADZADA Islam, Azerbaijan, 11-11-1111, 2, cadetes, -57, male
3238, TEHEI Hoenui, French Polynesia, 11-11-1111, 1.88, cadetes, -57, male
3239, CAMPUSANO ESTEVEZ Juan Daniel, Spain, 11-11-1111, 1.88, cadetes, -57, male
3240, BOLOAGE Alexandru, Romania, 11-11-1111, 1.88, cadetes, -57, male
3241, BOURIEL Ayoub, Canada, 11-11-1111, 1.85, cadetes, -57, male
3242, MIGUEL Moncef, France, 11-11-1111, 1.85, cadetes, -57, male
3243, DUGAC Grga, Hrvatska, 11-11-1111, 1.8, cadetes, -57, male
3244, KRITOVAC Mauro, Hrvatska, 11-11-1111, 1.78, cadetes, -57, male
3245, CISNEROS GARCIA Isaac, Spain, 11-11-1111, 1.75, cadetes, -57, male
3246, ILIOPOULOS Georgios, Greece, 11-11-1111, 1.75, cadetes, -57, male
3247, ARTAUEA Thitikon, Thailand, 11-11-1111, 1.75, cadetes, -57, male
3248, ANWAR Omar Mohamed, Egypt, 11-11-1111, 1.75, cadetes, -57, male
3249, MOFTAH Mohamed Waleed, Libyan, 11-11-1111, 1.75, cadetes, -57, male
3250, VIKSTRÖM Ivar, Sweden, 11-11-1111, 1.75, cadetes, -57, male
3251, HAKIMOV Sardor, Uzbekistan, 11-11-1111, 1.75, cadetes, -57, male
3252, HARDIENIN Makarii, Ukraine, 11-11-1111, 1.75, cadetes, -57, male
3253, RZAIGUI Hayder, Tunisia, 11-11-1111, 1.75, cadetes, -57, male
3254, TASDELEN Mustafa, Turkey, 11-11-1111, 1.75, cadetes, -57, male
3255, VILLEGAS MEJIA Diego Alejandro, El Salvador, 11-11-1111, 1.75, cadetes, -57, male
3256, KIM Sihyeon, Korea, 11-11-1111, 1.75, cadetes, -57, male
3257, KHABBAZ Georgio, Lebanon, 11-11-1111, 1.75, cadetes, -57, male
3258, AOUN Patrick, Lebanon, 11-11-1111, 1.75, cadetes, -57, male
3259, LASSO Sebastian, Panama, 11-11-1111, 1.75, cadetes, -57, male
3260, EID Jason, Lebanon, 11-11-1111, 1.75, cadetes, -57, male
3261, HONORIO MORA Aaron, Peru, 11-11-1111, 1.75, cadetes, -57, male
3262, PERUCIC Vid, Hrvatska, 11-11-1111, 1.75, cadetes, -57, male
3263, BERNAL HERNANDEZ Jose Enrique, Mexico, 11-11-1111, 1.75, cadetes, -57, male
3264, HOSSAM ELDIN MOUSTAFA Moustafa, Egypt, 11-11-1111, 1.75, cadetes, -57, male
3265, YOUNG Xavier, United States of America, 11-11-1111, 1.75, cadetes, -57, male
3266, WANG Jonathan, United States of America, 11-11-1111, 1.75, cadetes, -57, male
3267, AL MASKARI Al Muatasim, Oman, 11-11-1111, 1.75, cadetes, -57, male
3268, CHEKALIN Aleksandr, Russian Federation, 11-11-1111, 1.75, cadetes, -57, male
3269, FAZEKAS Lucas, United States of America, 11-11-1111, 1.71, cadetes, -57, male
3270, TOLONEN Aapo, Finland, 11-11-1111, 1.63, cadetes, -57, male
3271, SUTROVIC Tarik, Bosnia and Herzegovina, 11-11-1111, 1.63, cadetes, -57, male
3272, AGUILAR FERNANDEZ Zuriel, Costa Rica, 11-11-1111, 1.63, cadetes, -57, male
3273, ZUNZARREN ELVERDIN Inigo, Spain, 11-11-1111, 1.63, cadetes, -57, male
3274, WARNKE Landon, United States of America, 11-11-1111, 1.63, cadetes, -57, male
3275, BEVEL Aiden, United States of America, 04-06-2005, 1.52, cadetes, -57, male
3276, BUDAK Kirac Can, Turkey, 11-11-1111, 1.5, cadetes, -57, male
3277, ALSULAITI Saad Nasser, Qatar, 11-11-1111, 1.5, cadetes, -57, male
